rate;title;timestamp
0;~71st WWII Memorial Ceremony at Osankarica~;1388841360000
0;~Turkey, Slovenia aim to increase bilateral trade~;1389802620000
0;~Turkish president: Gov't, opposition should cooperate on judicial changes~;1389802620000
0;~Business the Wellness Way - Thermana Laško~;1389888480000
0;~Slovenian president: EU should accelerateTurkey's membership process~;1389952740000
0;~Neverending Political Games Arround Thermo Plant TEŠ 6~;1390637820000
0;~Freak Weather Places Europe On Red Alert~;1391697000000
0;~Freak Weather Places Europe On Red Alert~;1391698260000
0;~STA: OLYMPICS: Maze Takes Gold in Downhill (adds)~;1392201180000
0;~OLYMPICS: Maze Takes Gold in Downhill (adds)~;1392222540000
0;~EU Elections in Slovenia Called for 25 May~;1392228900000
0;~Elections to the European Parliament on 25 May~;1392232080000
0;~Sochi: Tina Maze With Gold!~;1392426480000
0;~Regional organizations, co-operation, women are crucial for effective mediation, says OSCE Secretary General~;1394570340000
0;~Kurz says Austria committed to trilateral cooperation~;1394741760000
0;~The End Game~;1395813120000
0;~The Brief History of the Week~;1397376840000
0;~Fresh Slovenia turmoil as PM loses party leadership (AFP)~;1398536340000
0;~Janković Win Sets Stage for Early Election~;1398577260000
0;~Janković Dreaming About Unification as Rift in Party Widens~;1398744360000
0;~Slovenia to hold second snap election in three years~;1399138500000
0;~Slovenia in Massive Flood Relief Response~;1400567400000
0;~Balažic recalled from the post of ambassador~;1400779980000
0;~Govt Asks President Pahor to Recall Ambassador to Australia~;1400824560000
0;~"EU enlargement process likely to slow down"~;1401461340000
0;~Nikolić: Serbia profoundly grateful to Slovenia~;1401496260000
0;~Slovenia president dissolves parliament, calls early vote for July 13~;1401639900000
0;~Slovenia to hold early elections on July 13~;1401640560000
0;~Slovenia to hold early elections on July 13~;1401640800000
0;~Slovenia to hold early elections on July 13~;1401641820000
0;~Slovenia to hold early parliamentary election on July 13 - president~;1401647340000
0;~Slovenia set to call snap election as parliament dissolves~;1401655020000
0;~Serbia Yet to Decide on Serb Participation in Kosovo Vote~;1401660840000
0;~Slovenia to hold early elections on July 13~;1401666060000
0;~CEE Macroeconomic and Fixed Income Research~;1401697380000
0;~Georgian President Meets Biden in Kiev~;1402154160000
0;~Slovenia confirms July 13 as date of general election~;1402555320000
0;~Celecration: National Day of Slovenia~;1403668500000
